id,shop_id,shop_name,is_mall,is_verified,follower_count,rating_star,rating_count,response_rate,location,total_products,total_sold,shop_url,crawled_at
2933,36774602,Orzenvn,0,0,16402,4.935617,6100,100.0,Hà Nội,97,6181,https://shopee.vn/orzenvn,2026-03-19 13:30:10
2934,31872599,CÔNG TY MỸ PHẨM DABO BENEW,0,0,49853,4.905168,99319,100.0,Hà Nội,462,101427,https://shopee.vn/thovaushop_officialstore,2026-03-19 13:30:12
2935,37147137,Vichy - Gian Hàng Chính Hãng,0,0,1025346,4.883305,379479,100.0,TP. Hồ Chí Minh,81,390864,https://shopee.vn/vichyofficialstore,2026-03-19 13:30:14
2936,37251700,La Roche-Posay Chính Hãng,0,0,2569172,4.889852,1864123,97.0,TP. Hồ Chí Minh,98,1916279,https://shopee.vn/larocheposay_officialstore,2026-03-19 13:30:16
2937,37251933,L'Oreal Paris Official Store,0,0,2950081,4.915984,2894175,100.0,TP. Hồ Chí Minh,442,2951241,https://shopee.vn/lorealparis_officialstore,2026-03-19 13:30:17
2938,433229,Thanh Chân Cosmetics,0,0,855217,4.955066,783558,100.0,TP. Hồ Chí Minh,522,790614,https://shopee.vn/thanhchan.vn,2026-03-19 13:30:18
2939,33163909,Rusty Lab Store,0,0,5637,4.939345,4968,81.0,Hà Nội,16,5028,https://shopee.vn/rustylab,2026-03-19 13:30:20
2940,21288813,Hairshop Thanh Tâm,0,0,35715,4.944958,21744,97.0,TP. Hồ Chí Minh,5145,22019,https://shopee.vn/hairshopthanhtam,2026-03-19 13:30:21
2941,29960902,Sức khỏe xanh,0,0,13712,4.933481,24991,88.0,TP. Hồ Chí Minh,176,25348,https://shopee.vn/suckhoexanh,2026-03-19 13:30:23
2942,40391661,ohuiwhoohcm,0,0,6530,4.943654,8679,75.0,TP. Hồ Chí Minh,702,8789,https://shopee.vn/ohuiwhoohcm,2026-03-19 13:30:25
2943,12174209,Hiệu thuốc Tùng Lộc,0,0,12995,4.89903,4568,83.0,Hà Nội,292,4676,https://shopee.vn/tranthuhuong1982,2026-03-19 13:30:26
2944,41592556,hoacuctrang19901,0,0,174394,4.912453,185342,96.0,TP. Hồ Chí Minh,612,189279,https://shopee.vn/hoacuctrang19901,2026-03-19 13:30:27
2945,43873741,BKshop - Makeup & Skincare,0,0,178501,4.928175,113220,81.0,TP. Hồ Chí Minh,239,115082,https://shopee.vn/myphambkshop,2026-03-19 13:30:29
2946,37252407,Maybelline Official Store,0,0,2320930,4.904633,1660801,100.0,TP. Hồ Chí Minh,143,1699522,https://shopee.vn/maybelline_officialstore,2026-03-19 13:30:31
2947,801570,Queenbeeland,0,0,40746,4.905955,19099,87.0,Khánh Hòa,1199,19523,https://shopee.vn/queenbeeland,2026-03-19 13:30:33
2948,44447389,HANAICHI - Siêu thị hàng Nhật,0,0,65973,4.933958,42078,99.0,Hà Nội,548,42672,https://shopee.vn/hanashop.jp,2026-03-19 13:30:34
2949,979943,YUMI'S MOM SHOP,0,0,469642,4.956291,512171,98.0,TP. Hồ Chí Minh,515,516734,https://shopee.vn/truonghai1483,2026-03-19 13:30:36
2950,45788176,Sammishop,0,0,907166,4.944287,483958,89.0,Hà Nội,1907,489825,https://shopee.vn/sammishop86,2026-03-19 13:30:38
2951,830225,Hạnh mỹ phẩm tóc,0,0,62897,4.930242,53866,86.0,Hà Nội,557,54794,https://shopee.vn/hanhmyphamtoc,2026-03-19 13:30:40
2952,22309593,Hoá Mỹ Phẩm Minh An,0,0,72084,4.922395,70177,78.0,Hà Nội,278,71353,https://shopee.vn/hoamyphamshop,2026-03-19 13:30:42
2953,16380944,Đài Linh Group,0,0,64822,4.89976,87604,93.0,TP. Hồ Chí Minh,203,89806,https://shopee.vn/dailinhgroup,2026-03-19 13:30:43
2954,8345042,andycosplaystore,0,0,52038,4.922189,36192,96.0,Hà Nội,435,36872,https://shopee.vn/andycosplaystore,2026-03-19 13:30:45
2955,22092023,Chu Chu shop,0,0,2790,4.973262,593,84.0,TP. Hồ Chí Minh,7,597,https://shopee.vn/huyhoang.157,2026-03-19 13:30:47
2956,44806875,DHC Vietnam Official,0,0,1450611,4.951161,664000,100.0,Hà Nội,87,670355,https://shopee.vn/dhc_officialstore,2026-03-19 13:30:48
2957,23167662,Phượng Hoàng Tóc giả Cao Cấp,0,0,192647,4.860459,155285,100.0,Kon Tum,889,161041,https://shopee.vn/tocgiacaocap,2026-03-19 13:30:50
2958,53829981,Himalaya Herbals Việt Nam,0,0,279703,4.927233,162680,85.0,TP. Hồ Chí Minh,165,165391,https://shopee.vn/himalayaherbalsvn,2026-03-19 13:30:51
2959,56982795,Missshop110,0,0,251757,4.95543,262783,99.0,TP. Hồ Chí Minh,393,265426,https://shopee.vn/missshop110,2026-03-19 13:30:54
2960,26265980,myphamrevadep.com,0,0,2966,4.510031,1176,80.0,Cần Thơ,496,1346,https://shopee.vn/myphamdepvare,2026-03-19 13:30:55
2961,59597911,Rohto Mentholatum Viet Nam,0,0,397583,4.913247,474902,100.0,TP. Hồ Chí Minh,365,484318,https://shopee.vn/rohto.vietnamofficialstore,2026-03-19 13:30:56
2962,59375295,Yong Hawa,0,0,54979,4.938405,44182,68.0,TP. Hồ Chí Minh,826,44860,https://shopee.vn/yonghawa,2026-03-19 13:30:58
2963,249374,Cila House,0,0,237606,4.951769,244011,98.0,Hà Nội,364,246142,https://shopee.vn/maiphuongbui,2026-03-19 13:31:00
2964,32374501,Hàng Hiệu Mỹ Giá rẻ 2,0,0,2401,4.914402,787,93.0,Hà Nội,399,803,https://shopee.vn/hanghieumygiare_2014,2026-03-19 13:31:02
2965,62077681,Lee Phượng Shop,0,0,6417,4.899294,23715,52.0,TP. Hồ Chí Minh,210,24263,https://shopee.vn/leephuong259,2026-03-19 13:31:03
2966,9888861,Bimhousee,0,0,127730,4.934182,75013,96.0,Hà Nội,547,76092,https://shopee.vn/thyngatran,2026-03-19 13:31:05
2967,53194257,An Kỳ Cosmetic,0,0,192327,4.925139,479613,100.0,Hà Nội,285,487697,https://shopee.vn/dtkshop,2026-03-19 13:31:07
2968,20448842,Emily’s Store,0,0,18958,4.933156,9825,84.0,TP. Hồ Chí Minh,154,9989,https://shopee.vn/emilystoretht,2026-03-19 13:31:09
2969,61922582,NIVEA VN OFFICIAL STORE,0,0,785564,4.925754,928546,100.0,TP. Hồ Chí Minh,279,944087,https://shopee.vn/nivea.officialstore,2026-03-19 13:31:11
2970,59469481,Lala Shop Beauty,0,0,419856,4.951037,364508,94.0,TP. Hồ Chí Minh,147,368120,https://shopee.vn/lalashop.beauty,2026-03-19 13:31:12
2971,65704515,shinebeautyy,0,0,11041,4.975824,461,20.0,Đắk Nông,1,464,https://shopee.vn/shinebeautyy,2026-03-19 13:31:14
2972,29627406,SampleMini_Shop.,0,0,32832,4.971237,142644,99.0,TP. Hồ Chí Minh,543,143413,https://shopee.vn/18love,2026-03-19 13:31:16
2973,65389276,meow.corner,0,0,9581,4.92322,11993,95.0,Hà Nội,309,12211,https://shopee.vn/meow.corner,2026-03-19 13:31:18
2974,66093438,Bồ Kết - Spa Quê Một Cục,0,0,129616,4.936918,75126,97.0,Hưng Yên,13,76256,https://shopee.vn/spaquemotcuc,2026-03-19 13:31:20
2975,14063555,Hachi Hachi Japan Shop,0,0,191503,4.94979,198299,96.0,TP. Hồ Chí Minh,518,200476,https://shopee.vn/hachihachi.japanshop,2026-03-19 13:31:22
